CVEDIS,ENTIDAD,NOMBRE_ENTIDAD,DISTRITO_FEDERAL,NOMBRE_DISTRITO_FEDERAL,LN_HOMBRES,LN_MUJERES,LN_NO_BINARIO,LN,ID_PERSON_GOBERNANTES,NOMBRE_DIPUTADO_ELECTO_2024,PARTIDO_2024,SKIN_TONE,DOMINANT,PHOTO_URL,TONO_PIEL_KMEDIAS
1518,15,MEXICO,18,HUIXQUILUCAN,169323,189412,0,358735,6748,Claudia Sánchez Juárez,PVEM, ,,,#d1a998
1519,15,MEXICO,19,TLALNEPANTLA DE BAZ,194085,216510,0,410595,4919,Gabriela Valdepeñas González,PT, ,,,#8e6455
1520,15,MEXICO,20,TECAMAC,112927,127404,1,240332,4920,Montserrat Ruiz Paez,MORENA,#917153,,,#c2a697
1521,15,MEXICO,21,AMECAMECA,145196,163582,0,308778,4921,Iván Millán Contreras,MORENA, ,,,#aa7f70
1522,15,MEXICO,22,NAUCALPAN DE JUAREZ,169504,191104,0,360608,4837,Martha Amalia Moya Bastón,PAN,#B29679,,,#cb9a81
1523,15,MEXICO,23,LERMA,149972,166097,1,316070,4923,Luis Alberto Carballo Gutiérrez,MORENA, ,,,#edbb98
1524,15,MEXICO,24,NAUCALPAN DE JUAREZ,199345,210736,0,410081,4924,José Luis Durán Reveles,PT, ,,,#f0be9f
1525,15,MEXICO,25,CHIMALHUACAN,144346,157520,0,301866,4925,Leide Avilés Domínguez,PVEM, ,,,#bc8368
1526,15,MEXICO,26,TOLUCA,159491,179751,1,339243,4926,Luis Enrique Miranda Barrera,PVEM, ,,,#ecc2a3
1527,15,MEXICO,27,METEPEC,170374,192553,0,362927,6791,Wblester Santiago Pineda,MORENA, ,,,#d99f74
1528,15,MEXICO,28,ZUMPANGO,128677,142051,0,270728,1323,Roberto Ángel Domínguez Rodríguez,PT,#917153,,,#f5d9bd
1529,15,MEXICO,29,NEZAHUALCOYOTL,168686,185661,0,354347,4859,Gerardo Ulloa Pérez,MORENA,#B29679,,,#a6644e
1530,15,MEXICO,30,CHIMALHUACAN,136070,149306,0,285376,1426,César Agustín Hernández Pérez,MORENA,#B29679,,,#eebeb8
1531,15,MEXICO,31,NEZAHUALCOYOTL,174908,191508,0,366416,1324,Juan Ángel Bautista Bravo,MORENA,#B29679,,,#dd9e83
1532,15,MEXICO,32,VALLE DE CHALCO SOLIDARIDAD,136596,146317,0,282913,1427,Luis Enrique Martínez Ventura,PVEM,#B29679,,,#ba9183
1533,15,MEXICO,33,CHALCO,136854,153077,0,289931,4860,Anais Miriam Burgos Hernández,MORENA,#917153,,,#a56951
1534,15,MEXICO,34,TOLUCA,177456,203776,0,381232,4929,Mónica Angélica Álvarez Nemer,MORENA, ,,,#a9764b
1535,15,MEXICO,35,TENANCINGO,159956,183454,0,343410,1429,Arturo Roberto Hernández Tapia,PVEM,#DEB6AD,,,#e2c7bf
1536,15,MEXICO,36,TEJUPILCO,154091,167603,0,321694,1162,Juan Carlos Varela Domínguez,MORENA,#DEB6AD,,,#c7a292
1537,15,MEXICO,37,TEOLOYUCAN,161409,174158,0,335567,4930,Pedro Mario Zenteno Santaella,MORENA, ,,,#c7b089
1538,15,MEXICO,38,TEXCOCO,139426,155424,0,294850,4931,Jesús Martín Cuanalo Araujo,MORENA, ,,,#c19273
1539,15,MEXICO,39,LA PAZ,137082,150600,0,287682,1430,José Luis Montalvo Luna,MORENA,#B29679,,,#e1bca5
1540,15,MEXICO,40,ZINACANTEPEC,172261,192196,0,364457,6857,Azucena Huerta Romero,PT, ,,,#8c945e
1601,16,MICHOACAN DE OCAMPO,1,LAZARO CARDENAS,152555,157390,0,309945,1461,Leonel Godoy Rangel,MORENA,#DEB6AD,,,#ad6d55
1602,16,MICHOACAN DE OCAMPO,2,APATZINGAN,155182,161056,0,316238,4958,José Luis Cruz Lucatero,MORENA,#B29679,,,#845b4c
1603,16,MICHOACAN DE OCAMPO,3,ZITACUARO,173760,190328,0,364088,1512,Mary Carmen Bernal Martínez,PVEM,#917153,,,#d6b5a0
1604,16,MICHOACAN DE OCAMPO,4,JIQUILPAN,153620,167344,0,320964,4959,Rosa Guadalupe Ortega Tiburcio,MORENA, ,,,#e9c293
1605,16,MICHOACAN DE OCAMPO,5,ZAMORA,172981,191373,0,364354,4960,Delhi Miroslava Shember Domínguez,PT, ,,,#d59b8c
1606,16,MICHOACAN DE OCAMPO,6,HIDALGO,167498,184350,0,351848,4961,José Luis Téllez Marín,MORENA,#917153,,,#b28a71
1607,16,MICHOACAN DE OCAMPO,7,ZACAPU,186605,205799,0,392404,4962,Marcela Velazquez Vazquez,MORENA, ,,,#b29d96
1608,16,MICHOACAN DE OCAMPO,8,MORELIA,157162,174670,0,331832,4963,Ernesto Nuñez Aguilar,PT, ,,,#ca917b
1609,16,MICHOACAN DE OCAMPO,9,URUAPAN,153654,170437,0,324091,6750,Guadalupe Araceli Mendoza Arias,C7, ,,,#eccdbe
1610,16,MICHOACAN DE OCAMPO,10,MORELIA,159815,180598,0,340413,3569,David Alejandro Cortés Mendoza,PAN,#EBD0CE,,,#997365
1611,16,MICHOACAN DE OCAMPO,11,PATZCUARO,162129,173304,0,335433,1450,Vanessa López Carrillo,PT,#B29679,,,#b68c76
1701,17,MORELOS,1,CUERNAVACA,148513,172197,0,320710,4971,Sandra Anaya Villegas,MORENA, ,,,#cf9479
1702,17,MORELOS,2,JIUTEPEC,164929,181867,0,346796,4972,Ariadna Barrera Vazquez,PT,#917153,,,#ce9a74
1703,17,MORELOS,3,CUAUTLA,144927,162405,0,307332,6751,Cindy Winkler Trujillo,PVEM, ,,,#a37b74
1704,17,MORELOS,4,JOJUTLA,149736,163762,0,313498,4974,Juan Ángel Flores Bustamante,PT, ,,,#be876a
1705,17,MORELOS,5,YAUTEPEC,125132,137737,0,262869,4975,Agustín Alonso Gutiérrez,PVEM,#917153,,,#eaa28d
1801,18,NAYARIT,1,SANTIAGO IXCUINTLA,136366,137173,0,273539,4982,Any Marilú Porras Baylón,MORENA,#B29679,,,#b5856a
1802,18,NAYARIT,2,TEPIC,156687,172384,3,329074,4983,Beatriz Andrea Navarro Pérez,MORENA, ,,,#dfbaa7
1803,18,NAYARIT,3,COMPOSTELA,174343,174726,0,349069,1530,Jorge Armando Ortiz Rodríguez,PT,#DEB6AD,,,#88625b
