CVEDIS,ENTIDAD,NOMBRE_ENTIDAD,DISTRITO_FEDERAL,NOMBRE_DISTRITO_FEDERAL,LN_HOMBRES,LN_MUJERES,LN_NO_BINARIO,LN,ID_PERSON_GOBERNANTES,NOMBRE_DIPUTADO_ELECTO_2024,PARTIDO_2024,SKIN_TONE,PHOTO_URL
1101,11,GUANAJUATO,1,SAN LUIS DE LA PAZ,137656,156763,0,294419,4674,Luis Gerardo Sánchez Sánchez,PRI,#B29679,1101__LUIS_GERARDO_SANCHEZ_SANCHEZ__FUERZA_Y_CORAZON_POR_MEXICO.png
1102,11,GUANAJUATO,2,SAN MIGUEL DE ALLENDE,159915,180963,0,340878,4711,Alma Rosa De La Vega Vargas,MORENA, ,
1103,11,GUANAJUATO,3,LEON,160348,173998,1,334347,777,Fernando Torres Graciano,PAN,#DEB6AD,1103__FERNANDO_TORRES_GRACIANO__FUERZA_Y_CORAZÓN_POR_MÉXICO.jpg
1104,11,GUANAJUATO,4,GUANAJUATO,138479,154445,1,292925,4713,Francisco Javier Estrada Domínguez,MORENA,#B29679,1104__FRANCISCO_JAVIER_ESTRADA_DOMÍNGUEZ__SIGAMOS_HACIENDO_HISTORIA.jpg
1105,11,GUANAJUATO,5,LEON,148984,158539,0,307523,779,Éctor Jaime Ramírez Barba,PAN,#DEB6AD,1105__ECTOR_JAIME_RAMIREZ_BARBA__FUERZA_Y_CORAZON_POR_MEXICO.png
1106,11,GUANAJUATO,6,LEON,145685,154939,1,300625,4699,Laura Cristina Márquez Alcalá,PAN,#DEB6AD,1106__LAURA_CRISTINA_MARQUEZ_ALCALA__PAN.png
1107,11,GUANAJUATO,7,SAN FRANCISCO DEL RINCON,131776,142278,0,274054,4679,Diana Estefanía Gutiérrez Valtierra,PAN,#DEB6AD,1107__DIANA_ESTEFANIA_GUTIERREZ_VALTIERRA__FUERZA_Y_CORAZON_POR_MEXICO.png
1108,11,GUANAJUATO,8,SALAMANCA,163224,180761,0,343985,4717,Ernesto Alejandro Prieto Gallardo,MORENA,#B29679,1108__ERNESTO_ALEJANDRO_PRIETO_GALLARDO__SIGAMOS_HACIENDO_HISTORIA.jpg
1109,11,GUANAJUATO,9,IRAPUATO,149187,162535,0,311722,4681,Diego Ángel Rodríguez Barroso,PAN,#DEB6AD,1109__DIEGO_ANGEL_RODRIGUEZ_BARROSO__FUERZA_Y_CORAZON_POR_MEXICO.png
1110,11,GUANAJUATO,10,URIANGATO,178069,195622,0,373691,4706,Alejandro Calderón Díaz,MORENA,#B29679,1110__ALEJANDRO_CALDERON_DIAZ__SIGAMOS_HACIENDO_HISTORIA.png
1111,11,GUANAJUATO,11,LEON,159539,170991,0,330530,4697,Miguel Ángel Salim Alle,PAN,#DEB6AD,1111__MIGUEL_ANGEL_SALIM_ALLE__PAN.png
